id,name,breed,color,sex,age,weight,birthDate,bredDate,breedingDate,expectedDueDate,sire,dam,pedigree,status,notes,lambings,weights,breedings
sheep-1766092228240,123,,White with Red Speckles,Ewe,4 years 10 months,150,2021-02-10,2025-08-02,2025-08-02,2025-12-27,sheep-1764818974164-357,,,active,,"[{""date"":""2025-01-13"",""count"":3,""children"":[""sheep-1764818974161-202"",""sheep-1764818974161-219"",""sheep-1764818974161-208""]},{""date"":""2024-03-22"",""count"":1,""children"":[""sheep-1764818974159-92""]},{""date"":""2023-03-30"",""count"":3,""children"":[""sheep-1764818974162-239"",""sheep-1764818974162-243"",""sheep-1764818974162-237""]}]","[{""date"":""2025-12-18"",""weight"":150}]","[{""date"":""2025-12-08"",""sire"":"""",""note"":""Recorded breeding""},{""date"":""2025-08-02"",""sire"":""sheep-1764818974164-357"",""note"":""Recorded breeding""}]"
sheep-1764818974158-90,124,,White,Ewe,1 year 11 months,80,2024-01-09,,,,,,,active,,,"[{""date"":""2025-12-18"",""weight"":80}]",
sheep-1766087035390,124,,White,Ewe,1 year 11 months,80,2024-01-09,,,,,,,active,,,"[{""date"":""2025-12-18"",""weight"":80}]",
sheep-1764818974164-352,125,,White with Brown Speckles,Ewe,1 year 11 months,85,2024-01-03,,,,,,,active,,,"[{""date"":""2025-12-18"",""weight"":85}]",
sheep-1766088704765,130,,Red,Ewe,2 years 10 months,120,2023-01-24,,,,,,,active,,,"[{""date"":""2025-12-18"",""weight"":120}]",
sheep-1764818974159-109,130,,Red,Ewe,1 year 4 months,125,2024-08-08,2025-08-02,2025-08-02,2025-12-27,sheep-1764818974164-357,111,,active,,,"[{""date"":""2025-12-18"",""weight"":125}]","[{""date"":""2025-12-08"",""sire"":"""",""note"":""Recorded breeding""},{""date"":""2025-08-02"",""sire"":""sheep-1764818974164-357"",""note"":""Recorded breeding""}]"
sheep-1764818974159-105,181,,Brown and White,Ewe,8 months,90,2025-03-25,2025-08-02,2025-08-02,2025-12-27,sheep-1764818974164-357,972J,,active,,,"[{""date"":""2025-12-18"",""weight"":90}]","[{""date"":""2025-12-08"",""sire"":"""",""note"":""Recorded breeding""},{""date"":""2025-08-02"",""sire"":""sheep-1764818974164-357"",""note"":""Recorded breeding""}]"
sheep-1764818974162-246,183,,White,Ewe,8 months,80,2025-03-25,2025-08-02,2025-08-02,2025-12-27,sheep-1764818974164-357,112,,active,,,"[{""date"":""2025-12-18"",""weight"":80}]","[{""date"":""2025-12-08"",""sire"":"""",""note"":""Recorded breeding""},{""date"":""2025-08-02"",""sire"":""sheep-1764818974164-357"",""note"":""Recorded breeding""}]"
sheep-1764818974162-250,187,,Brown and White,Ewe,8 months,85,2025-03-25,2025-08-02,2025-08-02,2025-12-27,sheep-1764818974164-357,113,,active,,,"[{""date"":""2025-12-18"",""weight"":85}]","[{""date"":""2025-12-08"",""sire"":"""",""note"":""Recorded breeding""},{""date"":""2025-08-02"",""sire"":""sheep-1764818974164-357"",""note"":""Recorded breeding""}]"
sheep-1764818974162-232,190,,White with Brown Speckles,Ewe,9 months,100,2025-03-14,2025-08-02,2025-08-02,2025-12-27,sheep-1764818974164-357,200L,,active,,,"[{""date"":""2025-12-18"",""weight"":100}]","[{""date"":""2025-12-08"",""sire"":"""",""note"":""Recorded breeding""},{""date"":""2025-08-02"",""sire"":""sheep-1764818974164-357"",""note"":""Recorded breeding""}]"
sheep-1764818974157-41,192,,White,Ewe,8 months,75,2025-03-28,2025-08-02,2025-08-02,2025-12-27,sheep-1764818974164-357,28L,,active,,,"[{""date"":""2025-12-18"",""weight"":75}]","[{""date"":""2025-12-08"",""sire"":"""",""note"":""Recorded breeding""},{""date"":""2025-08-02"",""sire"":""sheep-1764818974164-357"",""note"":""Recorded breeding""}]"
sheep-1764818974160-154,193,,White,Ewe,8 months,100,2025-04-02,2025-08-02,2025-08-02,2025-12-27,sheep-1764818974164-357,26L,,active,,,"[{""date"":""2025-12-18"",""weight"":100}]","[{""date"":""2025-12-08"",""sire"":"""",""note"":""Recorded breeding""},{""date"":""2025-08-02"",""sire"":""sheep-1764818974164-357"",""note"":""Recorded breeding""}]"
sheep-1764818974157-57,194,,White with Tricolour Speckles,Ewe,8 months,80,2025-04-03,2025-08-02,2025-08-02,2025-12-27,sheep-1764818974164-357,1 L Pink,,active,,,"[{""date"":""2025-12-18"",""weight"":80}]","[{""date"":""2025-12-08"",""sire"":"""",""note"":""Recorded breeding""},{""date"":""2025-08-02"",""sire"":""sheep-1764818974164-357"",""note"":""Recorded breeding""}]"
sheep-1764818974161-182,195,,White with Brown Speckles,Ewe,8 months,75,2025-04-05,2025-08-02,2025-08-02,2025-12-27,sheep-1764818974164-357,135L,,active,,,"[{""date"":""2025-12-18"",""weight"":75}]","[{""date"":""2025-12-08"",""sire"":"""",""note"":""Recorded breeding""},{""date"":""2025-08-02"",""sire"":""sheep-1764818974164-357"",""note"":""Recorded breeding""}]"
sheep-1766092277142,197,,White,Ewe,8 months,90,2025-04-04,2025-08-02,2025-08-02,2025-12-27,sheep-1764818974164-357,800 Parsnip,,active,,,"[{""date"":""2025-12-18"",""weight"":90}]","[{""date"":""2025-08-02"",""sire"":""sheep-1764818974164-357"",""note"":""Recorded breeding""}]"
sheep-1764818974162-267,198,,Tan,Ewe,8 months,70,2025-04-03,2025-08-02,2025-08-02,2025-12-27,sheep-1764818974164-357,111,,active,,,"[{""date"":""2025-12-18"",""weight"":70}]","[{""date"":""2025-12-08"",""sire"":"""",""note"":""Recorded breeding""},{""date"":""2025-08-02"",""sire"":""sheep-1764818974164-357"",""note"":""Recorded breeding""}]"
sheep-1764818974161-183,02 Shorty,,White,Ewe,6 years 9 months,105,2019-03-05,2025-07-23,2025-07-23,2025-12-17,sheep-1764818974164-357,Maple Lamb,,active,,"[{""date"":""2024-12-22"",""count"":2,""children"":[""sheep-1764818974164-311"",""sheep-1764818974160-131""]},{""date"":""2023-09-22"",""count"":2,""children"":[""sheep-1764818974163-292"",""sheep-1764818974163-285""]},{""date"":""2023-01-06"",""count"":2,""children"":[""sheep-1764818974160-121"",""sheep-1764818974159-117""]}]","[{""date"":""2025-12-18"",""weight"":105}]","[{""date"":""2025-12-08"",""sire"":"""",""note"":""Recorded breeding""},{""date"":""2025-08-02"",""sire"":""sheep-1764818974164-357"",""note"":""Recorded breeding""},{""date"":""2025-07-23"",""sire"":""sheep-1764818974164-357"",""note"":""Recorded breeding""}]"
sheep-1764818974158-82,102L,,White with Brown Speckles,Ewe,4 years 10 months,180,2021-02-02,2025-08-02,2025-08-02,2025-12-27,sheep-1764818974164-357,,,active,was 50sq,"[{""date"":""2025-01-18"",""count"":2,""children"":[""sheep-1764818974161-199"",""sheep-1764818974161-203""]},{""date"":""2023-09-18"",""count"":1,""children"":[""sheep-1764818974162-247""]}]","[{""date"":""2025-12-18"",""weight"":180}]","[{""date"":""2025-12-08"",""sire"":"""",""note"":""Recorded breeding""},{""date"":""2025-08-02"",""sire"":""sheep-1764818974164-357"",""note"":""Recorded breeding""}]"
sheep-1764818974160-144,107L,,White with Brown Speckles,Ewe,2 years 10 months,115,2023-01-24,,,,,,,active,,,"[{""date"":""2025-12-18"",""weight"":115}]",
sheep-1764818974156-26,109 L,,White,Ewe,2 years 10 months,120,2023-02-05,,,,,,,active,,,"[{""date"":""2025-12-18"",""weight"":120}]",
sheep-1764818974161-190,110L Speckles,,White with Brown Speckles,Ewe,2 years 10 months,140,2023-02-08,,,,,,,active,,,"[{""date"":""2025-12-18"",""weight"":140}]",
sheep-1764818974156-24,113 L,,Red,Ewe,6 years 9 months,165,2019-03-04,2025-08-02,2025-08-02,2025-12-27,sheep-1764818974164-357,,,active,,"[{""date"":""2025-03-25"",""count"":2,""children"":[""sheep-1764818974157-45"",""sheep-1764818974157-44""]},{""date"":""2024-08-06"",""count"":1,""children"":[""sheep-1764818974162-268""]}]","[{""date"":""2025-12-18"",""weight"":165}]","[{""date"":""2025-12-08"",""sire"":"""",""note"":""Recorded breeding""},{""date"":""2025-08-02"",""sire"":""sheep-1764818974164-357"",""note"":""Recorded breeding""}]"
sheep-1764818974161-209,114 Blue,,Chocolate Brown,Ewe,11 months,90,2025-01-16,2025-08-02,2025-08-02,2025-12-27,sheep-1764818974164-357,96,,active,,,"[{""date"":""2025-12-18"",""weight"":90}]","[{""date"":""2025-12-08"",""sire"":"""",""note"":""Recorded breeding""},{""date"":""2025-08-02"",""sire"":""sheep-1764818974164-357"",""note"":""Recorded breeding""}]"
sheep-1764818974160-146,115 Blue,,Med Brown,Ewe,11 months,90,2025-01-16,2025-08-02,2025-08-02,2025-12-27,sheep-1764818974164-357,79,,active,,,"[{""date"":""2025-12-18"",""weight"":90}]","[{""date"":""2025-12-08"",""sire"":"""",""note"":""Recorded breeding""},{""date"":""2025-08-02"",""sire"":""sheep-1764818974164-357"",""note"":""Recorded breeding""}]"
sheep-1764818974161-194,117 / 27L,,White,Ewe,2 years 10 months,120,2023-01-31,,,,,,,active,,,"[{""date"":""2025-12-18"",""weight"":120}]",
sheep-1764818974159-115,117 blue,,White,Ewe,10 months,120,2025-02-13,2025-08-02,2025-08-02,2025-12-27,sheep-1764818974164-357,128L,,active,,,"[{""date"":""2025-12-18"",""weight"":120}]","[{""date"":""2025-12-08"",""sire"":"""",""note"":""Recorded breeding""},{""date"":""2025-08-02"",""sire"":""sheep-1764818974164-357"",""note"":""Recorded breeding""}]"
sheep-1764818974162-276,118 sq,,Med Brown,Ewe,2 years,100,2023-12-22,2025-08-02,2025-08-02,2025-12-27,sheep-1764818974164-357,24K (Pickles),,active,,"[{""date"":""2025-01-08"",""count"":2,""children"":[""sheep-1764818974164-327"",""sheep-1764818974160-170""]}]","[{""date"":""2025-12-18"",""weight"":100}]","[{""date"":""2025-12-08"",""sire"":"""",""note"":""Recorded breeding""},{""date"":""2025-08-02"",""sire"":""sheep-1764818974164-357"",""note"":""Recorded breeding""}]"
sheep-1764818974162-238,119 Blue,,Dark Brown,Ewe,8 months,85,2025-04-07,,,,,,,active,,,"[{""date"":""2025-12-18"",""weight"":85}]",
sheep-1764818974160-153,12 pink,,Red,Ewe,1 year 4 months,105,2024-08-08,2025-08-02,2025-08-02,2025-12-27,sheep-1764818974164-357,24,,active,,,"[{""date"":""2025-12-18"",""weight"":105}]","[{""date"":""2025-12-08"",""sire"":"""",""note"":""Recorded breeding""},{""date"":""2025-08-02"",""sire"":""sheep-1764818974164-357"",""note"":""Recorded breeding""}]"
sheep-1764818974164-310,120 L,,Red,Ewe,8 months,80,2025-04-06,2025-08-02,2025-08-02,2025-12-27,sheep-1764818974164-357,136L,,active,,,"[{""date"":""2025-12-18"",""weight"":80}]","[{""date"":""2025-12-08"",""sire"":"""",""note"":""Recorded breeding""},{""date"":""2025-08-02"",""sire"":""sheep-1764818974164-357"",""note"":""Recorded breeding""}]"
sheep-1764818974158-85,121L,,White with Brown Speckles,Ewe,2 years,110,2023-12-23,2025-08-02,2025-08-02,2025-12-27,sheep-1764818974164-357,51K,,active,,"[{""date"":""2025-01-18"",""count"":1,""children"":[""sheep-1764818974161-218""]}]","[{""date"":""2025-12-18"",""weight"":110}]","[{""date"":""2025-12-08"",""sire"":"""",""note"":""Recorded breeding""},{""date"":""2025-08-02"",""sire"":""sheep-1764818974164-357"",""note"":""Recorded breeding""}]"
sheep-1764818974160-122,13 pink,,White with Brown Speckles,Ewe,1 year 4 months,120,2024-08-08,2025-08-02,2025-08-02,2025-12-27,sheep-1764818974164-357,24,,active,,,"[{""date"":""2025-12-18"",""weight"":120}]","[{""date"":""2025-12-08"",""sire"":"""",""note"":""Recorded breeding""},{""date"":""2025-08-02"",""sire"":""sheep-1764818974164-357"",""note"":""Recorded breeding""}]"
sheep-1764818974159-112,134L,,Red and White,Ewe,1 year 9 months,120,2024-03-19,2025-08-02,2025-08-02,2025-12-27,sheep-1764818974164-357,42,,active,,"[{""date"":""2025-04-03"",""count"":1,""children"":[""sheep-1764818974157-61""]}]","[{""date"":""2025-12-18"",""weight"":120}]","[{""date"":""2025-12-08"",""sire"":"""",""note"":""Recorded breeding""},{""date"":""2025-08-02"",""sire"":""sheep-1764818974164-357"",""note"":""Recorded breeding""}]"
sheep-1764818974157-32,135L,,Red,Ewe,1 year 9 months,105,2024-03-22,2025-08-02,2025-08-02,2025-12-27,sheep-1764818974164-357,99,,active,,"[{""date"":""2025-04-05"",""count"":2,""children"":[""sheep-1764818974157-55"",""sheep-1764818974157-53""]}]","[{""date"":""2025-12-18"",""weight"":105}]","[{""date"":""2025-12-08"",""sire"":"""",""note"":""Recorded breeding""},{""date"":""2025-08-02"",""sire"":""sheep-1764818974164-357"",""note"":""Recorded breeding""}]"
sheep-1766087281692,140 Blue,,White,Ewe,1 year 8 months,110,2024-04-04,2025-08-02,2025-08-02,2025-12-27,sheep-1764818974164-357,31L ewe,,active,,,"[{""date"":""2025-12-18"",""weight"":110}]","[{""date"":""2025-12-08"",""sire"":"""",""note"":""Recorded breeding""},{""date"":""2025-08-02"",""sire"":""sheep-1764818974164-357"",""note"":""Recorded breeding""}]"
sheep-1764818974162-242,15 pink,,Light Brown,Ewe,1 year 3 months,105,2024-09-11,2025-08-02,2025-08-02,2025-12-27,sheep-1764818974164-357,972J,,active,,,"[{""date"":""2025-12-18"",""weight"":105}]","[{""date"":""2025-12-08"",""sire"":"""",""note"":""Recorded breeding""},{""date"":""2025-08-02"",""sire"":""sheep-1764818974164-357"",""note"":""Recorded breeding""}]"
sheep-1764818974163-305,17 Pink,,White,Ewe,1 year,115,2024-12-22,2025-08-02,2025-08-02,2025-12-27,sheep-1764818974164-357,02 Shorty,,active,,,"[{""date"":""2025-12-18"",""weight"":115}]","[{""date"":""2025-12-08"",""sire"":"""",""note"":""Recorded breeding""},{""date"":""2025-08-02"",""sire"":""sheep-1764818974164-357"",""note"":""Recorded breeding""}]"
sheep-1764818974163-285,185L,,Chocolate Brown,Ewe,1 year 8 months,70,2024-04-10,,,,,,,active,,,"[{""date"":""2025-12-18"",""weight"":70}]",
sheep-1764818974164-345,19 pink,,White with Red Spots,Ewe,8 months,80,2025-04-09,,,,,,,active,,,"[{""date"":""2025-12-18"",""weight"":80}]",
sheep-1764818974156-25,190 Spots,,,Ram,2 years,220,2023-12-13,,,,Passion,93,,active,,,"[{""date"":""2025-04-04"",""weight"":220},{""date"":""2025-12-18"",""weight"":220}]",
sheep-1764818974161-197,199L,,Light Brown,Ewe,8 months,80,2025-04-03,,,,,,,active,,,"[{""date"":""2025-12-18"",""weight"":80}]",
sheep-1764818974158-79,20 Pink,,Med Brown,Ewe,11 months,99,2025-01-06,2025-08-02,2025-08-02,2025-12-27,sheep-1764818974164-357,116,,active,,,"[{""date"":""2025-12-18"",""weight"":99}]","[{""date"":""2025-12-08"",""sire"":"""",""note"":""Recorded breeding""},{""date"":""2025-08-02"",""sire"":""sheep-1764818974164-357"",""note"":""Recorded breeding""}]"
sheep-1764818974161-222,21 pink,,Light Brown,Ewe,11 months,110,2025-01-08,2025-08-02,2025-08-02,2025-12-27,sheep-1764818974164-357,118,,active,,,"[{""date"":""2025-12-18"",""weight"":110}]","[{""date"":""2025-12-08"",""sire"":"""",""note"":""Recorded breeding""},{""date"":""2025-08-02"",""sire"":""sheep-1764818974164-357"",""note"":""Recorded breeding""}]"
sheep-1764818974161-201,22 pink,,Red,Ewe,11 months,90,2025-01-05,2025-08-02,2025-08-02,2025-12-27,sheep-1764818974164-357,79k,,active,,,"[{""date"":""2025-12-18"",""weight"":90}]","[{""date"":""2025-08-02"",""sire"":""sheep-1764818974164-357"",""note"":""Recorded breeding""}]"
sheep-1764818974159-106,23 pink,,White with Red Speckles,Ewe,11 months,105,2025-01-06,2025-08-02,2025-08-02,2025-12-27,sheep-1764818974164-357,111 sq,,active,,,"[{""date"":""2025-12-18"",""weight"":105}]","[{""date"":""2025-12-08"",""sire"":"""",""note"":""Recorded breeding""},{""date"":""2025-08-02"",""sire"":""sheep-1764818974164-357"",""note"":""Recorded breeding""}]"
sheep-1764818974157-27,24 pink,,White with Brown Speckles,Ewe,11 months,100,2025-01-06,2025-08-02,2025-08-02,2025-12-27,sheep-1764818974164-357,1K,,active,,,"[{""date"":""2025-12-18"",""weight"":100}]","[{""date"":""2025-12-08"",""sire"":"""",""note"":""Recorded breeding""},{""date"":""2025-08-02"",""sire"":""sheep-1764818974164-357"",""note"":""Recorded breeding""}]"
sheep-1764818974161-184,24K (Pickles),,Black,Ewe,3 years 10 months,130,2022-02-03,2025-08-02,2025-08-02,2025-12-27,sheep-1764818974164-357,35 Potato,,active,,"[{""date"":""2025-01-17"",""count"":3,""children"":[""sheep-1764818974161-209"",""sheep-1764818974161-222"",""sheep-1764818974161-226""]},{""date"":""2023-12-22"",""count"":2,""children"":[""sheep-1764818974164-321"",""sheep-1764818974157-35""]},{""date"":""2023-03-24"",""count"":1,""children"":[""sheep-1764818974162-267""]}]","[{""date"":""2025-12-18"",""weight"":130}]","[{""date"":""2025-12-08"",""sire"":"""",""note"":""Recorded breeding""},{""date"":""2025-08-02"",""sire"":""sheep-1764818974164-357"",""note"":""Recorded breeding""}]"
sheep-1764818974161-195,25 pink,,Light Brown,Ewe,11 months,95,2025-01-07,2025-08-02,2025-08-02,2025-12-27,sheep-1764818974164-357,25K Plum,,active,,,"[{""date"":""2025-12-18"",""weight"":95}]","[{""date"":""2025-12-08"",""sire"":"""",""note"":""Recorded breeding""},{""date"":""2025-08-02"",""sire"":""sheep-1764818974164-357"",""note"":""Recorded breeding""}]"
sheep-1764818974164-355,25K Plum,,Med Brown,Ewe,3 years 10 months,110,2022-02-03,2025-08-02,2025-08-02,2025-12-27,sheep-1764818974164-357,35 Potato,,active,No shed,"[{""date"":""2025-01-07"",""count"":2,""children"":[""sheep-1764818974161-185"",""sheep-1764818974161-189""]},{""date"":""2023-12-30"",""count"":2,""children"":[""sheep-1764818974163-288"",""sheep-1764818974164-324""]},{""date"":""2023-03-24"",""count"":1,""children"":[""sheep-1764818974162-264""]}]","[{""date"":""2025-12-18"",""weight"":110}]","[{""date"":""2025-12-08"",""sire"":"""",""note"":""Recorded breeding""},{""date"":""2025-08-02"",""sire"":""sheep-1764818974164-357"",""note"":""Recorded breeding""}]"
sheep-1764818974160-163,26L,,White,Ewe,2 years 11 months,110,2023-01-09,,,,,,,active,,"[{""date"":""2025-04-02"",""count"":1,""children"":[""sheep-1764818974157-51""]}]","[{""date"":""2025-12-18"",""weight"":110}]",
sheep-1764818974161-205,27 pink,,Med Brown,Ewe,11 months,100,2025-01-15,2025-08-02,2025-08-02,2025-12-27,sheep-1764818974164-357,22L ewe (black),,active,,,"[{""date"":""2025-12-18"",""weight"":100}]","[{""date"":""2025-12-08"",""sire"":"""",""note"":""Recorded breeding""},{""date"":""2025-08-02"",""sire"":""sheep-1764818974164-357"",""note"":""Recorded breeding""}]"
sheep-1764818974164-341,28 L,,White with Tricolour Speckles,Ewe,2 years 10 months,120,2023-01-24,,,,,,,active,,,"[{""date"":""2025-12-18"",""weight"":120}]",
sheep-1766090384864,28 pink,,Red,Ewe,11 months,90,2025-01-13,2025-08-02,2025-08-02,2025-12-27,sheep-1764818974164-357,5132J,,active,,,"[{""date"":""2025-12-18"",""weight"":90}]","[{""date"":""2025-12-08"",""sire"":"""",""note"":""Recorded breeding""},{""date"":""2025-08-02"",""sire"":""sheep-1764818974164-357"",""note"":""Recorded breeding""}]"
sheep-1764818974164-311,29 pink,,White with Red Speckles,Ewe,11 months,90,2025-01-13,2025-08-02,2025-08-02,2025-12-27,sheep-1764818974164-357,5132J,,active,,,"[{""date"":""2025-12-18"",""weight"":90}]","[{""date"":""2025-12-08"",""sire"":"""",""note"":""Recorded breeding""},{""date"":""2025-08-02"",""sire"":""sheep-1764818974164-357"",""note"":""Recorded breeding""}]"
sheep-1764818974156-5,3 pink,,White,Ewe,1 year 4 months,120,2024-07-31,2025-08-02,2025-08-02,2025-12-27,sheep-1764818974164-357,89,,active,No Shed,,"[{""date"":""2025-12-18"",""weight"":120}]","[{""date"":""2025-12-08"",""sire"":"""",""note"":""Recorded breeding""},{""date"":""2025-08-02"",""sire"":""sheep-1764818974164-357"",""note"":""Recorded breeding""}]"
